Band,Category,Question
Band 1B,Self Evaluation,"When dependent on others, how often do you ensure your part is ready without delay?"
Band 1B,Self Evaluation,"How often do you clarify scope, deadlines, and quality expectations early to avoid missed commitments?"
Band 1B,Self Evaluation,"How often do you volunteer to take charge of a small but important task without being told?"
Band 1B,Self Evaluation,"How often do you identify potential risks early and communicate them to the team?"
Band 1B,Self Evaluation,"How often do you suggest process or workflow improvements instead of waiting for instructions?"
Band 1B,Self Evaluation,"When you see a gap, how often do you step in to resolve it rather than saying “not my job”?"
Band 1B,Self Evaluation,"How often do you ensure your work aligns with the team’s overall objectives?"
Band 1B,Self Evaluation,"When unexpected problems arise, how often do you stay committed and accountable until resolved?"
Band 1B,Self Evaluation,"How often do you adjust your schedule or priorities to keep your promises during peak periods?"
Band 1B,Self Evaluation,"How often do you communicate early if you sense a risk of missing a deadline?"
Band 1B,Self Evaluation,"How often do teammates rely on you because you consistently keep your word?"
Band 1B,Self Evaluation,"How often do you admit errors openly in front of the team?"
Band 1B,Self Evaluation,"How often do you take corrective action promptly after receiving feedback?"
Band 1B,Self Evaluation,"How often do you update stakeholders or clients transparently about delays or issues?"
Band 1B,Self Evaluation,"How often do you balance speed with quality, ensuring responsible delivery?"
Band 1B,Self Evaluation,"How often do you demonstrate accountability not only for your tasks but also for team outcomes?"
Band 1B,Self Evaluation,"Do I own mistakes early and share lessons learned with others?"
Band 1B,Self Evaluation,"Do I update progress without reminders from peers or managers?"
Band 1B,Self Evaluation,"Am I seen as dependable under pressure and change?"
Band 1B,Self Evaluation,"How do my actions strengthen or weaken team trust?"
Band 1B,Self Evaluation,"When direction changes, how often do you adjust and help teammates align quickly?"
Band 1B,Self Evaluation,"How often do you respond positively to shifting priorities and guide others through the change?"
Band 1B,Self Evaluation,"When teammates struggle with change, how often do you support them to adapt constructively?"
Band 1B,Self Evaluation,"How often do you ask clarifying questions during change announcements to avoid assumptions?"
Band 1B,Self Evaluation,"How often do you stay calm and propose constructive alternatives when deadlines shift?"
Band 1B,Self Evaluation,"How often do you adjust your approach when your usual method isn’t working?"
Band 1B,Self Evaluation,"When collaborating, how often do you flex your style to make teamwork smoother?"
Band 1B,Self Evaluation,"How often do you shift between detail and big-picture thinking as needed?"
Band 1B,Self Evaluation,"How often do you try new tools or processes even if unfamiliar at first?"
Band 1B,Self Evaluation,"How often do you adjust based on feedback to improve team outcomes?"
Band 1B,Self Evaluation,"When learning something new, how often do you take active notes for reuse?"
Band 1B,Self Evaluation,"How often do you seek feedback after applying a new skill to refine it?"
Band 1B,Self Evaluation,"How often do you learn from mistakes and ensure they aren’t repeated?"
Band 1B,Self Evaluation,"How often do you share new learnings or tips with your team?"
Band 1B,Self Evaluation,"How often do you link new learning to improve ongoing tasks?"
Band 1B,Self Evaluation,"When unexpected blockers arise, how often do you propose alternatives?"
Band 1B,Self Evaluation,"In urgent-issue discussions, how often do you step up with ideas?"
Band 1B,Self Evaluation,"How often do you stay composed when a plan fails and redirect effort?"
Band 1B,Self Evaluation,"How often do you shift tasks temporarily to handle pressing issues?"
Band 1B,Self Evaluation,"How often do you help maintain team morale when plans don’t go as expected?"
Band 1B,Self Evaluation,"How often do you reflect on your skills and identify areas to improve?"
Band 1B,Self Evaluation,"How often do you proactively enroll in learning/training relevant to your role?"
Band 1B,Self Evaluation,"How often do you apply external learnings (books, courses, etc.) at work?"
Band 1B,Self Evaluation,"How often do you track progress on new skills over time?"
Band 1B,Self Evaluation,"How often do you encourage teammates to adopt new learnings with you?"
Band 1B,Self Evaluation,"Do I help peers adapt, or only manage myself?"
Band 1B,Self Evaluation,"Which 3 questions are lowest? What one habit will I practice this week?"
Band 1B,Self Evaluation,"How am I sharing new learning, so others benefit?"
Band 1B,Self evaluation,"How often do you prioritize team goals over personal convenience?"
Band 1B,Self evaluation,"When workload feels uneven, how often do you volunteer to help balance it?"
Band 1B,Self evaluation,"How often do you encourage peers to view challenges as “our problem” instead of “my problem”?"
Band 1B,Self evaluation,"How often do you offer help to teammates without being asked?"
Band 1B,Self evaluation,"How often do you show appreciation for collective achievements?"
Band 1B,Self evaluation,"How often do you share relevant updates or files with other teams on time?"
Band 1B,Self evaluation,"When inter-team dependencies arise, how often do you communicate blockers early?"
Band 1B,Self evaluation,"How often do you clarify roles and hand-offs during shared tasks?"
Band 1B,Self evaluation,"How often do you use shared tools or trackers to maintain visibility?"
Band 1B,Self evaluation,"When priorities differ, how often do you help align timelines or expectations?"
Band 1B,Self evaluation,"How often do you include quieter or remote colleagues in group discussions?"
Band 1B,Self evaluation,"How often do you guide new teammates on team processes or culture?"
Band 1B,Self evaluation,"How often do you recognize behind-the-scenes contributors (QA, Support, Ops)?"
Band 1B,Self evaluation,"How often do you adjust meeting facilitation so all voices are heard?"
Band 1B,Self evaluation,"How often do you check whether teammates have context and tools needed to contribute?"
Band 1B,Self evaluation,"How often do you sense tension early and raise it calmly?"
Band 1B,Self evaluation,"When peers disagree, how often do you clarify misunderstandings without taking sides?"
Band 1B,Self evaluation,"How often do you mediate disputes using facts instead of opinions?"
Band 1B,Self evaluation,"How often do you keep tone respectful under pressure?"
Band 1B,Self evaluation,"How often do you redirect focus to shared goals during disagreements?"
Band 1B,Self evaluation,"How often do you take joint responsibility for meeting group deadlines?"
Band 1B,Self evaluation,"When you promise help, how often do you deliver as committed?"
Band 1B,Self evaluation,"How often do you keep shared documents and trackers updated?"
Band 1B,Self evaluation,"How often do you cover for teammates when needed?"
Band 1B,Self evaluation,"How often do you share credit equally when success is achieved?"
Band 1B,Self evaluation,"Do I balance contribution so no one is overloaded?"
Band 1B,Self evaluation,"Do I communicate early when tasks overlap with other teams?"
Band 1B,Self evaluation,"Do I listen to and include different voices in decisions?"
Band 1B,Self evaluation,"Do I handle conflict constructively and focus on solutions?"
Band 1B,Self evaluation,"Do I share credit and keep shared trackers current?"
Band 1B,Self evaluation Communiction,"When explaining ideas, how often do you adapt language to match your listener’s level?"
Band 1B,Self evaluation Communiction,"How often do you summarize meetings with clear actions / next steps?"
Band 1B,Self evaluation Communiction,"How often do you check understanding by paraphrasing or asking follow-ups?"
Band 1B,Self evaluation Communiction,"How often do you use examples or data to make complex points clearer?"
Band 1B,Self evaluation Communiction,"How often do you share progress or issues proactively with your team?"
Band 1B,Self evaluation Communiction,"When a requirement seems vague, how often do you ask probing questions?"
Band 1B,Self evaluation Communiction,"How often do you restate agreements to confirm shared understanding?"
Band 1B,Self evaluation Communiction,"How often do you clarify ambiguous instructions before starting?"
Band 1B,Self evaluation Communiction,"When context is missing, how often do you ask for background details?"
Band 1B,Self evaluation Communiction,"When priorities shift, how often do you re-confirm expectations and timelines?"
Band 1B,Self evaluation Communiction,"How often do you listen fully before responding?"
Band 1B,Self evaluation Communiction,"How often do you acknowledge others’ points before giving your view?"
Band 1B,Self evaluation Communiction,"In disagreements, how often do you keep tone respectful and focus on issues not people?"
Band 1B,Self evaluation Communiction,"How often do you invite quieter peers to share opinions?"
Band 1B,Self evaluation Communiction,"How often do you link your responses to what others said to show attention?"
Band 1B,Self evaluation Communiction,"How often do you use concise subject lines and headings in emails?"
Band 1B,Self evaluation Communiction,"How often do you choose the most suitable channel (chat / mail / meeting)?"
Band 1B,Self evaluation Communiction,"How often do you proofread or re-read messages before sending?"
Band 1B,Self evaluation Communiction,"How often do you keep collaboration tools updated without reminders?"
Band 1B,Self evaluation Communiction,"How often do you maintain a polite and professional tone online?"
Band 1B,Self evaluation Communiction,"How often do you share ideas confidently in team discussions?"
Band 1B,Self evaluation Communiction,"When disagreeing, how often do you express it constructively with reasons?"
Band 1B,Self evaluation Communiction,"How often do you prepare key points before important conversations?"
Band 1B,Self evaluation Communiction,"How often do you seek feedback on your communication style?"
Band 1B,Self evaluation Communiction,"When receiving feedback, how often do you accept it openly and act on it?"
Band 1B,Self evaluation Communiction,"Do I adjust my message to fit different listeners?"
Band 1B,Self evaluation Communiction,"Do I share updates before being asked?"
Band 1B,Self evaluation Communiction,"Am I consistent in clarifying ambiguous tasks?"
Band 1B,Self evaluation Communiction,"Do I listen and acknowledge before I speak?"
Band 1B,Self evaluation Communiction,"How open am I to feedback on my style?"
