Band,Category,Question
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you design more than one viable option for solving a recurring problem?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you adapt or scale proven ideas from other teams or past projects?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you evaluate feasibility in terms of time, resources, and downstream effects?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you suggest small process or tool improvements that prevent similar issues?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you capture key lessons and reuse them to refine future solutions?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you clearly recommend a preferred solution backed by relevant data or rationale?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you balance speed and accuracy when decisions are time-sensitive?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"When presenting options, how often do you communicate trade-offs (pros / cons) to help alignment?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you prioritize next actions based on risk, value, and effort before execution?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"After implementation, how often do you measure and confirm whether the decision achieved results?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"After closing an issue, how often do you document what worked and what did not?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you share findings or retrospectives so the broader team learns collectively?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you revise your approach based on peer or stakeholder feedback?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you identify recurring patterns and propose systemic fixes?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do you coach or mentor others on structured problem-solving approaches?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"Do I validate every problem against goals & data before solving?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"Do I collaborate for analysis or solve alone?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How often do I measure post-decision success?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"What lesson did I document from the last problem solved?"
Band 2B,Self evaluation Problem Solving & Critical Thinking,"How can my problem-solving raise team decision quality?"
Band 2B,Self evaluation Communication,"Do I adjust both tone and medium for different stakeholders?"
Band 2B,Self evaluation Communication,"How often do I proactively update before being asked?"
Band 2B,Self evaluation Communication,"Am I including remote colleagues consistently?"
Band 2B,Self evaluation Communication,"What data or evidence can I use to strengthen my ideas?"
Band 2B,Self evaluation Communication,"When updating your peer, how often do you explain steps rather than just the result?"
Band 2B,Self evaluation Communication,"When speaking to a manager, how often do you summarize outcomes and next steps clearly?"
Band 2B,Self evaluation Communication,"Before explaining, how often do you check if your audience already knows the background?"
Band 2B,Self evaluation Communication,"How often do you use analogies or examples to make complex ideas simple?"
Band 2B,Self evaluation Communication,"In cross-team updates, how often do you replace jargon with business-friendly terms?"
Band 2B,Self evaluation Communication,"How often do you share progress without being asked?"
Band 2B,Self evaluation Communication,"When a deadline nears, how often do you remind others in advance?"
Band 2B,Self evaluation Communication,"How often do you flag risks early before they become issues?"
Band 2B,Self evaluation Communication,"When a new teammate joins, how often do you brief them so they can catch up quickly?"
Band 2B,Self evaluation Communication,"How often do you send short structured updates to keep everyone aligned?"
Band 2B,Self evaluation Communication,"When suggesting ideas, how often do you present two or more options with pros and cons?"
Band 2B,Self evaluation Communication,"How often do you frame ideas in terms of value or impact for others?"
Band 2B,Self evaluation Communication,"In discussions, how often do you express disagreement respectfully and firmly?"
Band 2B,Self evaluation Communication,"How often do you adapt tone or phrasing to fit the audience (formal vs casual)?"
Band 2B,Self evaluation Communication,"When peers hesitate to share, how often do you invite and encourage their input?"
Band 2B,Self evaluation Communication,"When influencing decisions, how often do you back your point with supporting data or evidence?"
Band 2B,Self evaluation Communication,"How often do you use bullet points or headings in written updates for clarity?"
Band 2B,Self evaluation Communication,"How often do you choose the right medium (chat, mail, meeting) for urgency and audience?"
Band 2B,Self evaluation Communication,"In hybrid meetings, how often do you actively include remote colleagues’ views?"
Band 2B,Self evaluation Communication,"How often do you circulate concise written summaries of key decisions?"
Band 2B,Self evaluation Communication,"How often do you focus messages on essentials instead of lengthy detail?"
Band 2B,Self evaluation Communication,"When collaborating asynchronously, how often do you ensure clarity for teammates in other time zones?"
Band 2B,Self evaluation Communication,"How often do you check if your message was understood as intended?"
Band 2B,Self evaluation Communication,"When you receive feedback, how often do you adjust your communication style?"
Band 2B,Self evaluation Communication,"In larger meetings, how often do you speak up with confidence?"
Band 2B,Self evaluation Communication,"How often do you handle disagreement calmly without diluting clarity?"
Band 2B,Self evaluation Communication,"How often do you acknowledge others publicly to reinforce a positive culture?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you prioritize team outcomes over personal preferences in decision-making?"
Band 2B,Self evaluation Teamwork & Collaboration,"When workload feels uneven, how often do you offer to balance effort across the team?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you help teammates see challenges as “our problem,” not “my problem”?"
Band 2B,Self evaluation Teamwork & Collaboration,"When a teammate struggles, how often do you offer help without waiting to be asked?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you realign your own priorities when the team’s success depends on collective focus?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you share relevant information or documents proactively with other teams?"
Band 2B,Self evaluation Teamwork & Collaboration,"When work depends on another function, how often do you keep them updated on progress or blockers?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you clarify ownership when a task spans multiple teams?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you use shared digital tools (trackers, dashboards, boards) to make work transparent?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you help align timelines when schedules between teams conflict?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you invite quieter or remote teammates to contribute ideas?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you guide new colleagues on how to work effectively within the team?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you recognize contributions from supporting roles (QA, Admin, Ops)?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you adjust meeting facilitation so everyone’s voice is heard?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you create a safe space where teammates can share mistakes or concerns without fear?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you notice tensions early and raise them calmly before they escalate?"
Band 2B,Self evaluation Teamwork & Collaboration,"When misunderstandings arise, how often do you clarify objectively without taking sides?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you focus on facts and shared outcomes during disagreements?"
Band 2B,Self evaluation Teamwork & Collaboration,"When under pressure, how often do you maintain composure and respect in tone?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you steer the team back to shared goals after differences appear?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you take ownership for team deadlines in addition to your own tasks?"
Band 2B,Self evaluation Teamwork & Collaboration,"When you promise to support a teammate, how often do you follow through fully?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you keep shared trackers and documents updated for team visibility?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you step in temporarily for a teammate who’s unavailable to keep momentum?"
Band 2B,Self evaluation Teamwork & Collaboration,"How often do you celebrate and share credit publicly for team achievements?"
