Band,Competency,Sub_Section,Q.No,Question
Band 3B,Teamwork & Collaboration,Cross-Team Alignment,1,"""When projects involve multiple teams, how often do you ensure shared objectives are clarified early?"""
Band 3B,Teamwork & Collaboration,Cross-Team Alignment,2,"""How often do you highlight overlapping tasks to prevent duplication across groups?"""
Band 3B,Teamwork & Collaboration,Cross-Team Alignment,3,"""How often do you help teams connect their goals to the bigger picture?"""
Band 3B,Teamwork & Collaboration,Cross-Team Alignment,4,"""How often do you share knowledge/resources so other teams can avoid repeating work already done?"""
Band 3B,Teamwork & Collaboration,Cross-Team Alignment,5,"""How often do you ensure interdependent deliverables are aligned and tracked across all teams?"""
Band 3B,Teamwork & Collaboration,Facilitating Collaboration,6,"""How often do you set up structured spaces (joint reviews, retros, syncs) for cross-team collaboration?"""
Band 3B,Teamwork & Collaboration,Facilitating Collaboration,7,"""How often do you encourage balanced contributions so no single team dominates?"""
Band 3B,Teamwork & Collaboration,Facilitating Collaboration,8,"""How often do you recognize interdependencies and ensure commitments are coordinated across groups?"""
Band 3B,Teamwork & Collaboration,Facilitating Collaboration,9,"""How often do you build trust between teams by promoting openness and transparency?"""
Band 3B,Teamwork & Collaboration,Facilitating Collaboration,10,"""How often do you document and confirm commitments from multi-team discussions so they’re visible to all?"""
Band 3B,Teamwork & Collaboration,Conflict Management Across Teams,11,"""When disputes arise between teams, how often do you step in to mediate constructively?"""
Band 3B,Teamwork & Collaboration,Conflict Management Across Teams,12,"""How often do you refocus conflicts away from blame and toward shared outcomes?"""
Band 3B,Teamwork & Collaboration,Conflict Management Across Teams,13,"""How often do you clarify and correct miscommunication across teams before it escalates?"""
Band 3B,Teamwork & Collaboration,Conflict Management Across Teams,14,"""How often do you maintain a neutral, respectful tone while guiding teams through disagreements?"""
Band 3B,Teamwork & Collaboration,Conflict Management Across Teams,15,"""How often do you help teams find 'win-win' solutions when their priorities clash?"""
Band 3B,Teamwork & Collaboration,Hybrid/Distributed Collaboration,16,"""How often do you use shared digital tools to maintain a 'single source of truth' for multiple teams?"""
Band 3B,Teamwork & Collaboration,Hybrid/Distributed Collaboration,17,"""How often do you facilitate virtual sessions that allow diverse teams to bond and build trust?"""
Band 3B,Teamwork & Collaboration,Hybrid/Distributed Collaboration,18,"""How often do you ensure distributed teams have equal access to information and decision-making?"""
Band 3B,Teamwork & Collaboration,Hybrid/Distributed Collaboration,19,"""How often do you summarize multi-channel discussions (Slack, email, meetings) to keep everyone aligned?"""
Band 3B,Teamwork & Collaboration,Hybrid/Distributed Collaboration,20,"""How often do you set expectations for asynchronous collaboration to avoid delays across time zones?"""
Band 3B,Teamwork & Collaboration,Role-Modeling,21,"""How often do you mentor others on how to collaborate effectively across functional silos?"""
Band 3B,Teamwork & Collaboration,Role-Modeling,22,"""How often do you advocate for resources or tools that improve collaboration for the whole group?"""
Band 3B,Teamwork & Collaboration,Role-Modeling,23,"""How often do you share cross-team success stories to encourage a collaborative culture?"""
Band 3B,Teamwork & Collaboration,Role-Modeling,24,"""How often do you provide feedback to team leads on how to improve their inter-team cooperation?"""
Band 3B,Teamwork & Collaboration,Role-Modeling,25,"""How often do you drive a culture of 'one team' regardless of functional or geographic boundaries?"""
Band 3B,Adaptability & Learning Agility,Navigating Change Across Teams,1,"""When major project priorities shift, how often do you help align timelines between multiple teams?"""
Band 3B,Adaptability & Learning Agility,Navigating Change Across Teams,2,"""How often do you anticipate how a change in one team may affect another and communicate early?"""
Band 3B,Adaptability & Learning Agility,Navigating Change Across Teams,3,"""When people feel uncertain about shifting goals, how often do you support them calmly and constructively?"""
Band 3B,Adaptability & Learning Agility,Navigating Change Across Teams,4,"""How often do you keep momentum when inter-team dependencies are disrupted?"""
Band 3B,Adaptability & Learning Agility,Navigating Change Across Teams,5,"""When senior direction changes, how often do you restate the new priorities clearly for everyone involved?"""
Band 3B,Adaptability & Learning Agility,Continuous Learning & Sharing,6,"""How often do you seek ideas or learnings from teams outside your domain?"""
Band 3B,Adaptability & Learning Agility,Continuous Learning & Sharing,7,"""How often do you share lessons learned from your project that help other groups avoid the same errors?"""
Band 3B,Adaptability & Learning Agility,Continuous Learning & Sharing,8,"""How often do you translate key project learnings into simple team checklists or playbooks?"""
Band 3B,Adaptability & Learning Agility,Continuous Learning & Sharing,9,"""When a process improves, how often do you broadcast that success so other teams can adopt it?"""
Band 3B,Adaptability & Learning Agility,Continuous Learning & Sharing,10,"""How often do you encourage others to share new learnings in cross-team retrospectives?"""
Band 3B,Adaptability & Learning Agility,Flexibility in Approach,11,"""How often do you modify your approach when a solution from one team fails elsewhere?"""
Band 3B,Adaptability & Learning Agility,Flexibility in Approach,12,"""When priorities clash between projects, how often do you help re-sequence work collaboratively?"""
Band 3B,Adaptability & Learning Agility,Flexibility in Approach,13,"""How often do you apply insights from unrelated past experiences to a new situation?"""
Band 3B,Adaptability & Learning Agility,Flexibility in Approach,14,"""How often do you balance following a set process with the need for speed when situations change?"""
Band 3B,Adaptability & Learning Agility,Flexibility in Approach,15,"""How often do you lead your team to pivot without losing focus on the ultimate objective?"""
Band 3B,Adaptability & Learning Agility,Learning from Setbacks,16,"""When a multi-team goal is missed, how often do you lead a 'no-blame' review to find systemic causes?"""
Band 3B,Adaptability & Learning Agility,Learning from Setbacks,17,"""How often do you treat inter-team friction as data to improve future collaboration?"""
Band 3B,Adaptability & Learning Agility,Learning from Setbacks,18,"""How often do you help teams recover their energy and focus after a major project setback?"""
Band 3B,Adaptability & Learning Agility,Learning from Setbacks,19,"""How often do you publicly share your own learning journey (including mistakes) to encourage others?"""
Band 3B,Adaptability & Learning Agility,Learning from Setbacks,20,"""How often do you use feedback from other teams to make significant changes to your own work methods?"""
Band 3B,Adaptability & Learning Agility,Role-Modeling Learning Agility,21,"""How often do you coach others on how to stay flexible during high-pressure transitions?"""
Band 3B,Adaptability & Learning Agility,Role-Modeling Learning Agility,22,"""How often do you advocate for time and resources for cross-team learning initiatives?"""
Band 3B,Adaptability & Learning Agility,Role-Modeling Learning Agility,23,"""How often do you help document and standardize team lessons so others benefit beyond your group?"""
Band 3B,Adaptability & Learning Agility,Role-Modeling Learning Agility,24,"""How often do you reward people who take initiative to learn and share new cross-functional skills?"""
Band 3B,Adaptability & Learning Agility,Role-Modeling Learning Agility,25,"""How often do you stay updated on industry/market changes to prepare multiple teams for what's next?"""
Band 3B,Problem Solving & Critical Thinking,Cross-Team Problem Identification,1,"""When an issue surfaces, how often do you check whether it affects other teams as well?"""
Band 3B,Problem Solving & Critical Thinking,Cross-Team Problem Identification,2,"""How often do you gather perspectives from multiple groups before defining the problem?"""
Band 3B,Problem Solving & Critical Thinking,Cross-Team Problem Identification,3,"""How often do you re-frame the issue so it represents shared impact rather than a team-specific one?"""
Band 3B,Problem Solving & Critical Thinking,Cross-Team Problem Identification,4,"""How often do you validate the problem definition with all affected teams before analysis begins?"""
Band 3B,Problem Solving & Critical Thinking,Cross-Team Problem Identification,5,"""How often do you ensure everyone agrees on one common problem statement before moving to solutions?"""
Band 3B,Problem Solving & Critical Thinking,Structured Analysis & Options,6,"""How often do you facilitate root-cause analysis sessions that include inputs from several teams?"""
Band 3B,Problem Solving & Critical Thinking,Structured Analysis & Options,7,"""How often do you encourage all functions to use data rather than opinions to frame their views?"""
Band 3B,Problem Solving & Critical Thinking,Structured Analysis & Options,8,"""How often do you present two or more solution options with evidence to support each?"""
Band 3B,Problem Solving & Critical Thinking,Structured Analysis & Options,9,"""How often do you highlight pros/cons that reflect both business and technical implications?"""
Band 3B,Problem Solving & Critical Thinking,Structured Analysis & Options,10,"""How often do you guide teams to prioritize solutions based on impact and effort jointly agreed?"""
Band 3B,Problem Solving & Critical Thinking,Collaborative Solution Design,11,"""How often do you ensure every relevant team has a voice in design discussions?"""
Band 3B,Problem Solving & Critical Thinking,Collaborative Solution Design,12,"""How often do you balance technical feasibility with customer or business value?"""
Band 3B,Problem Solving & Critical Thinking,Collaborative Solution Design,13,"""How often do you promote creative alternatives without losing sight of practical constraints?"""
Band 3B,Problem Solving & Critical Thinking,Collaborative Solution Design,14,"""How often do you check if a proposed solution creates a new problem for a different team?"""
Band 3B,Problem Solving & Critical Thinking,Collaborative Solution Design,15,"""How often do you help define 'MVP' (Minimum Viable Product) versions of a solution to test it faster?"""
Band 3B,Problem Solving & Critical Thinking,Decision-Making Across Teams,16,"""How often do you ensure that the rationale behind a decision is communicated to all stakeholders?"""
Band 3B,Problem Solving & Critical Thinking,Decision-Making Across Teams,17,"""How often do you make sure team decisions are aligned with the overall program or project goals?"""
Band 3B,Problem Solving & Critical Thinking,Decision-Making Across Teams,18,"""How often do you document the trade-offs made during a decision for future reference?"""
Band 3B,Problem Solving & Critical Thinking,Decision-Making Across Teams,19,"""How often do you secure explicit commitment from all affected teams once a decision is made?"""
Band 3B,Problem Solving & Critical Thinking,Decision-Making Across Teams,20,"""How often do you review the outcomes of decisions to see if the original problem was actually solved?"""
Band 3B,Problem Solving & Critical Thinking,Role-Modeling Critical Thinking,21,"""How often do you mentor others on how to use data to justify their recommendations?"""
Band 3B,Problem Solving & Critical Thinking,Role-Modeling Critical Thinking,22,"""How often do you challenge assumptions or 'groupthink' during cross-team meetings?"""
Band 3B,Problem Solving & Critical Thinking,Role-Modeling Critical Thinking,23,"""How often do you promote a culture where asking 'Why?' and 'What if?' is encouraged?"""
Band 3B,Problem Solving & Critical Thinking,Role-Modeling Critical Thinking,24,"""How often do you share tools or frameworks (like Fishbone or SWOT) to help other teams solve problems?"""
Band 3B,Problem Solving & Critical Thinking,Role-Modeling Critical Thinking,25,"""How often do you conduct 'pre-mortems' to identify potential failures before a solution is launched?"""
