Band,Competency,Sub_Section,Q.No,Question
Band 2B,Communication,Digital & Hybrid Communication,17,"""How often do you tag the right people in digital updates so no one is missed?"" "
Band 2B,Communication,Digital & Hybrid Communication,18,"""In remote calls, how often do you check for understanding by pausing for questions?"" "
Band 2B,Communication,Digital & Hybrid Communication,19,"""How often do you keep shared documentation updated as source-of-truth?"" "
Band 2B,Communication,Digital & Hybrid Communication,20,"""How often do you practice 'active listening' in video calls (nodding, summarizing)?"" "
Band 2B,Communication,Feedback & Confidence,21,"""When given feedback, how often do you ask clarifying questions to improve?"" "
Band 2B,Communication,Feedback & Confidence,22,"""How often do you offer constructive feedback to peers with a helpful tone?"" "
Band 2B,Communication,Feedback & Confidence,23,"""How often do you present your work with confidence even under scrutiny?"" "
Band 2B,Communication,Feedback & Confidence,24,"""In group settings, how often do you contribute your view to ensure diverse perspectives?"" "
Band 2B,Communication,Feedback & Confidence,25,"""How often do you summarize meeting outcomes before leaving to ensure alignment?"" "
Band 2B,Problem Solving & Critical Thinking,Problem Definition & Understanding,1,"""When assigned a problem, how often do you restate it in your own words to confirm shared understanding?"" "
Band 2B,Problem Solving & Critical Thinking,Problem Definition & Understanding,2,"""How often do you validate that the defined problem connects to project or business goals?"" "
Band 2B,Problem Solving & Critical Thinking,Problem Definition & Understanding,3,"""How often do you separate surface symptoms from root causes using available data?"" "
Band 2B,Problem Solving & Critical Thinking,Problem Definition & Understanding,4,"""How often do you gather and cross-check facts from multiple reliable sources before forming conclusions?"" "
Band 2B,Problem Solving & Critical Thinking,Problem Definition & Understanding,5,"""Before starting work, how often do you confirm that all stakeholders agree on the success criteria?"" "
Band 2B,Problem Solving & Critical Thinking,Structured Analysis & Collaboration,6,"""How often do you break large or vague issues into smaller, actionable components?"" "
Band 2B,Problem Solving & Critical Thinking,Structured Analysis & Collaboration,7,"""How often do you apply simple analytical frameworks (fishbone, 5 Whys, impact matrix) to structure thinking?"" "
Band 2B,Problem Solving & Critical Thinking,Structured Analysis & Collaboration,8,"""How often do you compare at least two probable causes or solution paths before choosing one?"" "
Band 2B,Problem Solving & Critical Thinking,Structured Analysis & Collaboration,9,"""How often do you evaluate effort vs impact vs risk to prioritize actions?"" "
Band 2B,Problem Solving & Critical Thinking,Structured Analysis & Collaboration,10,"""How often do you collaborate with peers or cross-functional experts to validate your reasoning?"" "
Band 2B,Problem Solving & Critical Thinking,Solution Design & Feasibility,11,"""How often do you design more than one viable option for solving a recurring problem?"" "
Band 2B,Problem Solving & Critical Thinking,Solution Design & Feasibility,12,"""How often do you adapt or scale proven ideas from other teams or past projects?"" "
Band 2B,Problem Solving & Critical Thinking,Solution Design & Feasibility,13,"""How often do you evaluate feasibility in terms of time, resources, and downstream effects?"" "
Band 2B,Problem Solving & Critical Thinking,Solution Design & Feasibility,14,"""How often do you suggest small process or tool improvements to prevent future issues?"" "
Band 2B,Problem Solving & Critical Thinking,Solution Design & Feasibility,15,"""How often do you design solutions that are easy for others to maintain or understand?"" "
Band 2B,Problem Solving & Critical Thinking,Decision-Making & Execution,16,"""How often do you explain the logic behind your recommended solution to stakeholders?"" "
Band 2B,Problem Solving & Critical Thinking,Decision-Making & Execution,17,"""How often do you implement temporary fixes while working on a long-term solution?"" "
Band 2B,Problem Solving & Critical Thinking,Decision-Making & Execution,18,"""How often do you take ownership of decisions even when the outcome is uncertain?"" "
Band 2B,Problem Solving & Critical Thinking,Decision-Making & Execution,19,"""How often do you monitor the results of your solution to ensure it actually fixed the problem?"" "
Band 2B,Problem Solving & Critical Thinking,Decision-Making & Execution,20,"""How often do you adjust your approach quickly if initial data shows the solution isn't working?"" "
Band 2B,Problem Solving & Critical Thinking,Reflection & Knowledge Sharing,21,"""How often do you document 'lessons learned' after resolving a significant issue?"" "
Band 2B,Problem Solving & Critical Thinking,Reflection & Knowledge Sharing,22,"""How often do you share your problem-solving approach in team meetings or shared channels?"" "
Band 2B,Problem Solving & Critical Thinking,Reflection & Knowledge Sharing,23,"""How often do you look back to see if previous decisions led to the expected results?"" "
Band 2B,Problem Solving & Critical Thinking,Reflection & Knowledge Sharing,24,"""How often do you help a peer troubleshoot an issue using a structured approach?"" "
Band 2B,Problem Solving & Critical Thinking,Reflection & Knowledge Sharing,25,"""How often do you propose updates to SOPs or Wikis based on new problem resolutions?"" "
Band 2B,Teamwork & Collaboration,Collaboration Mindset,1,"""How often do you prioritize team outcomes over personal preferences in decision-making?"" "
Band 2B,Teamwork & Collaboration,Collaboration Mindset,2,"""When workload feels uneven, how often do you offer to balance effort across the team?"" "
Band 2B,Teamwork & Collaboration,Collaboration Mindset,3,"""How often do you help teammates see challenges as 'our problem,' not 'my problem'?"" "
Band 2B,Teamwork & Collaboration,Collaboration Mindset,4,"""When a teammate struggles, how often do you offer help without waiting to be asked?"" "
Band 2B,Teamwork & Collaboration,Collaboration Mindset,5,"""How often do you realign your own priorities when the team’s success depends on collective focus?"" "
Band 2B,Teamwork & Collaboration,Cross-Team Coordination,6,"""How often do you share relevant information or documents proactively with other teams?"" "
Band 2B,Teamwork & Collaboration,Cross-Team Coordination,7,"""When work depends on another function, how often do you keep them updated on progress or blockers?"" "
Band 2B,Teamwork & Collaboration,Cross-Team Coordination,8,"""How often do you clarify ownership when a task spans multiple teams?"" "
Band 2B,Teamwork & Collaboration,Cross-Team Coordination,9,"""How often do you use shared digital tools (trackers, dashboards, boards) to make work transparent?"" "
Band 2B,Teamwork & Collaboration,Cross-Team Coordination,10,"""How often do you help align timelines when schedules between teams conflict?"" "
Band 2B,Teamwork & Collaboration,Inclusion & Mentorship,11,"""How often do you invite quieter or remote teammates to contribute ideas?"" "
Band 2B,Teamwork & Collaboration,Inclusion & Mentorship,12,"""How often do you guide new colleagues on how to work effectively within the team?"" "
Band 2B,Teamwork & Collaboration,Inclusion & Mentorship,13,"""How often do you recognize contributions from supporting roles (QA, Admin, Ops)?"" "
Band 2B,Teamwork & Collaboration,Inclusion & Mentorship,14,"""How often do you share knowledge or 'shortcuts' to help peers improve their speed?"" "
Band 2B,Teamwork & Collaboration,Inclusion & Mentorship,15,"""How often do you ensure remote teammates are included in casual or unplanned team decisions?"" "
Band 2B,Teamwork & Collaboration,Conflict Prevention & Resolution,16,"""How often do you address small frictions directly and politely before they escalate?"" "
Band 2B,Teamwork & Collaboration,Conflict Prevention & Resolution,17,"""In disagreements, how often do you focus on the 'issue' rather than the 'person'?"" "
Band 2B,Teamwork & Collaboration,Conflict Prevention & Resolution,18,"""How often do you look for a 'third way' or compromise that satisfies both parties?"" "
Band 2B,Teamwork & Collaboration,Conflict Prevention & Resolution,19,"""How often do you seek a manager's help to mediate only after trying to resolve it yourself?"" "
Band 2B,Teamwork & Collaboration,Conflict Prevention & Resolution,20,"""How often do you maintain a positive and professional tone even during heated discussions?"" "
Band 2B,Teamwork & Collaboration,Shared Accountability,21,"""How often do you take responsibility for team-level failures rather than pointing to individuals?"" "
Band 2B,Teamwork & Collaboration,Shared Accountability,22,"""How often do you celebrate team milestones as much as individual achievements?"" "
Band 2B,Teamwork & Collaboration,Shared Accountability,23,"""How often do you provide constructive, kind feedback to help a teammate improve?"" "
Band 2B,Teamwork & Collaboration,Shared Accountability,24,"""How often do you follow through on commitments made during team huddles?"" "
Band 2B,Teamwork & Collaboration,Shared Accountability,25,"""How often do you actively build trust by being reliable and transparent with your progress?"" "
