Band,Category,Score Range,Interpretations,Focus Area
1,Adaptability & Learning Agility,Below 50,"""Struggle to adapt affects learning pace.""","""Coaching support on curiosity and calmness."""
1A,Teamwork & Collaboration,100–125,"""Dependable, supportive team member.""","""Move toward group alignment (1B readiness)."""
1A,Teamwork & Collaboration,75–99,"""Contributes well; not consistently proactive.""","""Focus on alignment and timeliness."""
1A,Teamwork & Collaboration,50–74,"""Occasionally withdrawn or delayed.""","""Practice responsiveness daily."""
1A,Teamwork & Collaboration,Below 50,"""Collaboration gaps affect team trust.""","""Needs coaching support."""
1A,Accountability & Ownership,100–125,"""Reliable and accountable for work.""","""Helping peers build accountability (1B readiness)."""
1A,Accountability & Ownership,75–99,"""Dependable but not always proactive.""","""Anticipating issues and taking initiative."""
1A,Accountability & Ownership,50–74,"""Often needs reminders or avoids ownership.""","""Strengthen self-monitoring habits."""
1A,Accountability & Ownership,Below 50,"""Lack of ownership impacts credibility.""","""Needs coaching and mentoring."""
1A,Communication,100–125,"""Communicates clearly and respectfully.""","""Give structured team updates (1B readiness)."""
1A,Communication,75–99,"""Communicates well but inconsistently.""","""Work on clarifying questions and updates."""
1A,Communication,50–74,"""Missing basics (greetings, confirmations).""","""Daily practice and peer feedback."""
1A,Communication,Below 50,"""Frequent breakdowns impact team work.""","""Immediate coaching recommended."""
1A,Problem Solving & Critical Thinking,100–125,"""Solves problems independently most of the time.""","""Use structured analysis tools (1B readiness)."""
1A,Problem Solving & Critical Thinking,75–99,"""Solves issues when asked; misses proactive checks.""","""Anticipate risks and record root causes."""
1A,Problem Solving & Critical Thinking,50–74,"""Waits for direction when issues arise.""","""Practice independent troubleshooting."""
1A,Problem Solving & Critical Thinking,Below 50,"""Lack of habits affects reliability.""","""Immediate coaching and guided observation."""
1A,Adaptability & Learning Agility,100–125,"""Adapts well and is eager to learn.""","""Support peers through change initiatives."""
1A,Adaptability & Learning Agility,75–99,"""Handles change but sometimes hesitates.""","""Quicker adjustment and consistency."""
1A,Adaptability & Learning Agility,50–74,"""Change causes stress or confusion.""","""Practice micro-adaptability."""
1A,Adaptability & Learning Agility,Below 50,"""Resistance to change slows growth.""","""Coaching on flexibility and confidence."""
2A,Accountability & Ownership,100–125 (Strong),"""Dependable, balances speed & quality, visible to team.""","""Ready for   2B (anticipating risks, broader responsibility)."""
2A,Accountability & Ownership,75–99 (Developing),"""Meets most commitments but may slip in consistency or visibility.""","""Focus on proactive updates."""
2A,Accountability & Ownership,50–74 (Needs Improvement),"""Inconsistent; risks affecting team reliability.""","""Needs personal systems/checklists."""
2A,Accountability & Ownership,Below 50 (Critical Gap),"""Frequently unreliable, requiring close supervision.""","""Immediate coaching required."""
2A,Adaptability & Learning Agility,100–125 (Strong),"""Adapts positively, stays productive, and helps team morale during change.""","""Ready for handling multiple competing priorities (  2B)."""
2A,Adaptability & Learning Agility,75–99 (Developing),"""Adapts when needed but may show hesitation or delay.""","""Focus on positivity and documenting learnings."""
2A,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Takes longer to adjust; hesitation may slow the team.""","""Focus on increasing adjustment speed."""
2A,Adaptability & Learning Agility,Below 50 (Critical Gap),"""Resists change and may impact morale.""","""Requires coaching and closer support."""
2A,Communication,100–125 (Strong),"""Clear, inclusive communicator enabling team alignment across audiences.""","""Ready for   2B (influencing larger groups and persuasive messaging)."""
2A,Communication,75–99 (Developing),"""Communicates well individually but lacks group clarity or digital alignment.""","""Focus on summarizing and ensuring all voices are heard."""
2A,Communication,50–74 (Needs Improvement),"""Group discussions often remain unclear when participating.""","""Strengthen stakeholder alignment and digital confirmation habits."""
2A,Communication,<50 (Critical Gap),"""Risk of being perceived as unclear or disengaged.""","""Needs close feedback and guided observation practice."""
2A,Problem Solving & Critical Thinking,100–125 (Strong),"""Emerging as a team improver who raises issues and suggests improvements.""","""Ready to move toward structured frameworks (  2B)."""
2A,Problem Solving & Critical Thinking,75–99 (Developing),"""Solves and supports well but lacks consistent improvement suggestions.""","""Focus on visibility and peer involvement."""
2A,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Focused only on individual tasks with limited team-level contribution.""","""Broaden scope to include team-level problem solving."""
2A,Problem Solving & Critical Thinking,Below 50 (Critical Gap),"""Reactive only; minimal visibility in team discussions.""","""Needs structured coaching."""
2A,Teamwork & Collaboration,100–125 (Strong),"""Drives team alignment and inclusion; trusted for enabling group trust.""","""Ready for   2B (leading cross-team collaboration)."""
2A,Teamwork & Collaboration,75–99 (Developing),"""Collaborates well but inconsistent in balancing participation/visibility.""","""Focus on equitable workload and digital accountability."""
2A,Teamwork & Collaboration,50–74 (Needs Improvement),"""Supports others but remains reactive.""","""Build habits in alignment, inclusion, and fairness."""
2A,Teamwork & Collaboration,<50 (Critical Gap),"""Risk of being perceived as siloed.""","""Needs structured coaching and deliberate participation practices."""
2B,Accountability & Ownership,100–125 (Strong),"""Consistent accountability, reliability, and peer-level dependability.""","""Ready for Band 3A (ownership of team outcomes)."""
2B,Accountability & Ownership,75–99 (Developing),"""Owns tasks but requires more consistent proactive communication.""","""Strengthen visibility across teams."""
2B,Accountability & Ownership,50–74 (Needs Improvement),"""Inconsistent deadlines or avoids taking initiative on issues.""","""Focus on reliability routines."""
2B,Accountability & Ownership,Below 50 (Critical Gap),"""Gaps affect team trust and delivery.""","""Needs structured coaching and supervision."""
2B,Adaptability & Learning Agility,100–125 (Strong),"""Balanced personal and team adaptability with measurable learning impact.""","""Ready for Band 3A (guide teams through change)."""
2B,Adaptability & Learning Agility,75–99 (Developing),"""Adaptive personally but inconsistent in enabling others or reflection.""","""Focus on peer support and reflection loops."""
2B,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Reactive and unstructured adjustments.""","""Build planning and prioritization habits."""
2B,Adaptability & Learning Agility,<50 (Critical Gap),"""Struggles significantly under change.""","""Requires mentorship and structured learning."""
2B,Communication,100–125 (Strong),"""Adapts style/channel, anticipates audience needs, and builds trust.""","""Ready for Band 3A."""
2B,Communication,75–99 (Developing),"""Communicates well but often defaults to a single style.""","""Improve anticipation and framing of messages."""
2B,Communication,50–74 (Needs Improvement),"""Reactive or channel-mismatched communication habits.""","""Needs structured planning and practice."""
2B,Communication,< 50 (Critical Gap),"""Communication limits team alignment.""","""Immediate coaching recommended."""
2B,Problem Solving & Critical Thinking,100–125 (Strong),"""Structured, data-driven, and collaborative problem-solving.""","""Ready for Band 3A (Analytical Influence & Decision Support)."""
2B,Problem Solving & Critical Thinking,75–99 (Developing),"""Strong individual solver.""","""Build consistency in evidence use and cross-sharing."""
2B,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Relies on intuition or incomplete data.""","""Strengthen root-cause analysis and option evaluation."""
2B,Problem Solving & Critical Thinking,Below 50 (Critical Gap),"""Ad-hoc approach with limited analysis.""","""Needs structured coaching."""
2B,Teamwork & Collaboration,100–125 (Strong),"""Actively balances collaboration, mentors peers, and promotes trust.""","""Ready for Band 3A (Coordinated Team Leadership)."""
2B,Teamwork & Collaboration,75–99 (Developing),"""Collaborates well but limited extension of inclusion beyond their group.""","""Focus on proactive alignment beyond immediate group."""
2B,Teamwork & Collaboration,50–74 (Needs Improvement),"""Cooperates but remains siloed.""","""Improve cross-functional transparency."""
2B,Teamwork & Collaboration,Below 50 (Critical Gap),"""Focus appears self-centered or inconsistent.""","""Teamwork impact is at risk; needs guidance."""
3A,Accountability & Ownership,100–125 (Strong),"""Accountable for both personal and team outcomes.""","""Ready for 3B (cross-functional accountability)."""
3A,Accountability & Ownership,75–99 (Developing),"""Dependable individually but doesn’t always reinforce team-level accountability.""","""Reinforce team-level accountability."""
3A,Accountability & Ownership,50–74 (Needs Improvement),"""Completes tasks but does not safeguard team delivery or quality.""","""Safeguard team delivery and quality standards."""
3A,Accountability & Ownership,<50 (Critical Gap),"""Lack of ownership impacts team trust and performance.""","""Immediate coaching on ownership and trust."""
3A,Adaptability & Learning Agility,100–125 (Strong),"""Adapts smoothly, stays resilient, and helps the team adjust.""","""Ready for Band 3B (guide others in adapting across teams)."""
3A,Adaptability & Learning Agility,75–99 (Developing),"""Adapts well individually but doesn’t consistently support others in transitions.""","""Support teammates consistently during transitions."""
3A,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Struggles with uncertainty or fails to adjust methods.""","""Practice pausing to plan and adjusting methods."""
3A,Adaptability & Learning Agility,<50 (Critical Gap),"""Resistance to change affects individual and team performance.""","""Coaching on flexibility and change management."""
3A,Communication,100–125 (Strong),"""Trusted communicator/influencer; guides team direction and represents the group confidently.""","""Ready for Band 3B (cross-team alignment)."""
3A,Communication,75–99 (Developing),"""Clear communicator but needs stronger influence and closure on actions.""","""Strengthen influence and closure on actions."""
3A,Communication,50–74 (Needs Improvement),"""Active participant but lacks persuasive consistency.""","""Practice balancing tone and outcomes."""
3A,Communication,< 50 (Critical Gap),"""Communication gaps limit trust and alignment.""","""Immediate coaching and structured feedback."""
3A,Problem Solving & Critical Thinking,100–125 (Strong),"""Frames problems clearly, applies structured thinking, and guides team toward evidence-based decisions.""","""Ready for Band 3B (cross-team problem solving)."""
3A,Problem Solving & Critical Thinking,75–99 (Developing),"""Analyzes well but doesn’t consistently guide team decisions.""","""Guiding team decisions."""
3A,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Relies on assumptions; problem statements often remain unclear.""","""Clarifying problem statements and avoiding assumptions."""
3A,Problem Solving & Critical Thinking,<50 (Critical Gap),"""Risk of repeating mistakes and failing to address root causes.""","""Root cause analysis and mistake prevention."""
3A,Teamwork & Collaboration,100–125 (Strong),"""Seen as a collaborator who leads team cohesion, resolves conflicts, and drives outcomes.""","""Ready for Band 3B (cross-team collaboration)."""
3A,Teamwork & Collaboration,75–99 (Developing),"""Collaborates effectively but doesn’t consistently resolve conflicts or structure teamwork.""","""Resolving team conflicts and structuring teamwork."""
3A,Teamwork & Collaboration,50–74 (Needs Improvement),"""Cooperates but doesn’t guide alignment; teamwork lacks structure.""","""Guiding alignment and adding structure to teamwork."""
3A,Teamwork & Collaboration,<50 (Critical Gap),"""Team sees the individual as unclear, disengaged, or creating silos.""","""Improving engagement and transparency."""
3B,Accountability & Ownership,100–125 (Strong),"""You build cross-team ownership through transparency and trust.""","""Ready for 4A – formalize functional governance systems."""
3B,Accountability & Ownership,75–99 (Developing),"""Team delivery is strong, but visibility across functions is limited. ""","""Establish standardized reporting rituals and dashboards."""
3B,Accountability & Ownership,50–74 (Needs Improvement),"""Accountability depends on individuals, not systems. ""","""Build cross-team tracking and peer review culture."""
3B,Accountability & Ownership,<50 (Critical Gap),"""Ownership breaks down between teams.""","""Immediate mentoring on alignment and clarity."""
3B,Adaptability & Learning Agility,100–125 (Strong),"""Adapts and helps others adapt across teams; turns change into collective growth.""","""Ready for 4A – lead department-wide learning culture."""
3B,Adaptability & Learning Agility,75–99 (Developing),"""Handles own change well but less consistent in supporting others.""","""Strengthen multi-team coaching and feedback loops."""
3B,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Struggles with ambiguity or cross-functional shifts.""","""Focus on feedback sharing and communication."""
3B,Adaptability & Learning Agility,<50 (Critical Gap),"""Change causes negativity that impacts others.""","""Immediate coaching and guided reflection needed."""
3B,Communication,100–125 (Strong),"""Trusted communicator and influencer; guides team direction and aligns diverse groups.""","""Ready for 4A, where communication expands to department-wide strategy. """
3B,Communication,75–99 (Developing),"""Clear communicator but not always consistent in cross-team persuasion or alignment.""","""Strengthen cross-team persuasion and alignment consistency."""
3B,Communication,50–74 (Needs Improvement),"""Struggles to influence beyond your own team; risk of siloed decisions.""","""Practice influencing beyond the immediate team."""
3B,Communication,<50 (Critical Gap),"""Communication may cause misalignment or confusion across groups.""","""Immediate coaching to prevent group misalignment."""
3B,Problem Solving & Critical Thinking,100–125 (Strong),"""Leads structured problem-solving across teams, balancing diverse inputs and guiding transparent decisions. ""","""Ready for 4A, where you design decision frameworks for functions. """
3B,Problem Solving & Critical Thinking,75–99 (Developing),"""Structured thinker but inconsistent in cross-team facilitation.""","""Improve consistency in facilitating cross-team solutions."""
3B,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Too team-focused; solutions remain fragmented.""","""Focus on broadening solution scope beyond a single team."""
3B,Problem Solving & Critical Thinking,<50 (Critical Gap),"""Missed alignment creates rework and silos.""","""Coaching on cross-team alignment and root-cause analysis."""
3B,Teamwork & Collaboration,100–125 (Strong),"""Leads effective collaboration across multiple teams, ensuring trust, alignment, and fairness. ""","""Ready for 4A, where collaboration expands to department-wide cohesion. """
3B,Teamwork & Collaboration,75–99 (Developing),"""Collaborates strongly within your team but inconsistently across groups.""","""Build consistency in collaboration across different groups."""
3B,Teamwork & Collaboration,50–74 (Needs Improvement),"""Struggles to resolve cross-team conflicts; risk of siloed outcomes.""","""Develop skills in resolving multi-team conflicts."""
3B,Teamwork & Collaboration,<50 (Critical Gap),"""Your approach may create friction or distrust between teams.""","""Mentoring on building cross-team trust and reducing friction."""
4A,Accountability & Ownership,100–125 (Strong),"""You institutionalize ownership and make accountability visible through systems.""","""Prepare to coach other leaders on functional accountability (Band 4B)."""
4A,Accountability & Ownership,75–99 (Developing),"""You own outcomes but systems depend on your personal drive.""","""Shift from personal to team mechanisms for ownership."""
4A,Accountability & Ownership,50–74 (Needs Improvement),"""Accountability drops during ambiguity or handoffs.""","""Focus on delegation clarity and data-driven tracking."""
4A,Accountability & Ownership,Below 50 (Critical Gap),"""Team lacks ownership discipline.""","""Immediate coaching on process clarity and follow-through."""
4A,Adaptability & Learning Agility,100–125 (Strong),"""You lead adaptable teams that convert uncertainty into structured learning and progress.""","""Begin mentoring cross-functional adaptability systems (Band 4B)."""
4A,Adaptability & Learning Agility,75–99 (Developing),"""You adapt well personally but need to institutionalize learning loops.""","""Focus on sharing learnings and enabling others to adapt."""
4A,Adaptability & Learning Agility,50–74 (Needs Improvement),"""You manage change reactively and rely on past methods.""","""Develop reflection and experimentation habits."""
4A,Adaptability & Learning Agility,Below 50 (Critical Gap),"""Struggles with flexibility or learning from change.""","""Immediate coaching on reframing, emotional control, and experimentation. """
4A,Communication,100–125 (Strong),"""You drive clarity systems that shape organizational communication culture.""","""Ready to coach cross-functional communication at Band 4B."""
4A,Communication,75–99 (Developing),"""You communicate well but lack structured cadence for cross-function visibility.""","""Focus on creating repeatable communication frameworks."""
4A,Communication,50–74 (Needs Improvement),"""Your messages are clear but don’t connect teams to strategic context.""","""Build habit of linking “what” to “why”."""
4A,Communication,<50 (Critical Gap),"""Team messages lack alignment with broader goals.""","""Immediate coaching on strategic clarity and digital tone."""
4A,Problem Solving & Critical Thinking,100–125 (Strong),"""You demonstrate systemic problem-solving, balancing logic, foresight, and learning agility. ""","""Ready to mentor others and lead multi-function analysis (Band 4B)."""
4A,Problem Solving & Critical Thinking,75–99 (Developing),"""Strong in data and logic but needs more documentation and risk foresight.""","""Focus on institutionalizing frameworks and capturing lessons learned."""
4A,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""You rely on instinct or limited evidence.""","""Strengthen validation, stakeholder analysis, and documentation. """
4A,Problem Solving & Critical Thinking,<50 (Critical Gap),"""Problem solving inconsistent or reactive.""","""Requires guided practice and structured thinking coaching."""
4A,Teamwork & Collaboration,100–125 (Strong),"""You drive collaboration systems that sustain trust and delivery across teams.""","""Ready to lead cross-functional collaboration at Band 4B."""
4A,Teamwork & Collaboration,75–99 (Developing),"""You collaborate effectively but depend on personal effort more than systems.""","""Focus on designing repeatable collaboration frameworks."""
4A,Teamwork & Collaboration,50–74 (Needs Improvement),"""Team collaboration fluctuates with pressure or ambiguity.""","""Build rituals that reinforce clarity and inclusion."""
4A,Teamwork & Collaboration,Below 50 (Critical Gap),"""Team silos or trust issues hinder performance.""","""Immediate coaching on collaborative behaviors and empathy."""
4B,Problem Solving & Critical Thinking,100–125 (Strong),"""Strategic thinker; balances analysis and influence across teams.""","""Prepare for Band 5A – Enterprise Problem Leadership."""
4B,Problem Solving & Critical Thinking,75–99 (Developing),"""Solid analytical skills, needs to extend coaching and external alignment.""","""Facilitate cross-team reviews."""
4B,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Strong logic, limited foresight or scale.""","""Practice structured risk tools and data storytelling."""
4B,Problem Solving & Critical Thinking,<50 (Critical Gap),"""Tactical only; reactive fixes.""","""Needs coaching in RCA and systems thinking."""
4B,Adaptability & Learning Agility,100–125 (Strong),"""Anticipates change, drives learning culture, and builds adaptability systems.""","""Ready for Band 5A – Organizational Agility Leadership."""
4B,Adaptability & Learning Agility,75–99 (Developing),"""Adapts well but needs to scale adaptability beyond team.""","""Focus on cross-functional and client enablement."""
4B,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Manages change reactively; learning loops underused.""","""Build stronger peer learning & retrospective habits."""
4B,Adaptability & Learning Agility,<50 (Critical Gap),"""Finds change draining or unclear.""","""Work on reflection, self-regulation, and energy management."""
4B,Teamwork & Collaboration,100–125 (Strong),"""Drives trust and alignment across functions and partners.""","""Prepare for Band 5A – enterprise collaboration leadership."""
4B,Teamwork & Collaboration,75–99 (Developing),"""Collaborates well internally but needs stronger external alignment.""","""Expand stakeholder network & mediate objectively."""
4B,Teamwork & Collaboration,50–74 (Needs Improvement),"""Protects own team more than shared goals.""","""Adopt joint accountability & shared planning."""
4B,Teamwork & Collaboration,<50 (Critical Gap),"""Avoidance of conflict reduces trust.""","""Seek mentoring on negotiation & alignment skills."""
4B,Accountability & Ownership,100–125 (Strong),"""Role-model accountability across teams and clients.""","""Mentor other managers to sustain accountability culture."""
4B,Accountability & Ownership,75–99 (Developing),"""Strong reliability within team.""","""Broaden accountability beyond team boundaries."""
4B,Accountability & Ownership,50–74 (Needs Improvement),"""Good intent but inconsistent follow-through.""","""Strengthen visibility + risk ownership."""
4B,Accountability & Ownership,<50 (Critical Gap),"""Low accountability perception.""","""Immediate feedback & executive coaching."""
4B,Communication,100–125 (Strong),"""Drives cross-functional alignment through strategic clarity.""","""Prepare for 5A enterprise-level storytelling."""
4B,Communication,75–99 (Developing),"""Communicates clearly but lacks consistent influence across teams.""","""Strengthen persuasive framing & follow-through."""
4B,Communication,50–74 (Needs Improvement),"""Messages miss context or audience fit.""","""Map stakeholder needs before key communications."""
4B,Communication,<50 (Critical Gap),"""Creates confusion or misalignment.""","""Seek mentoring in executive briefing & narrative building."""
5A,Problem Solving & Critical Thinking,100–125 (Strong),"""Leading enterprise-level problem solving using systems thinking.""","""Ready for Band 5B – Organizational Insight & Decision Excellence."""
5A,Problem Solving & Critical Thinking,75–99 (Developing),"""Analytical and structured but needs to strengthen the learning loop.""","""Strengthen evidence transparency and post-decision reviews."""
5A,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Good intuition but lacks data rigor and structured review.""","""Build data-driven review habits and use structured tools."""
5A,Problem Solving & Critical Thinking,<50 (Critical Gap),"""Problem solving is reactive and fragmented.""","""Requires structured coaching and foundational RCA tools."""
5A,Communication,100–125 (Strong),"""Strategic communicator; builds belief and alignment at scale.""","""Ready for Band 5B – Enterprise Narrative & Influence."""
5A,Communication,75–99 (Developing),"""Clear and professional, but needs to institutionalize feedback loops.""","""Focus on crafting enterprise narratives and scaling influence."""
5A,Communication,50–74 (Needs Improvement),"""Inconsistent messaging; lacks cross-functional influence.""","""Map stakeholder impact and standardize alignment forums."""
5A,Communication,<50 (Critical Gap),"""Communication silos or lack of clarity affecting alignment.""","""Seek mentoring in executive presence and inclusive messaging."""
5A,Accountability & Ownership,100–125 (Strong),"""Role-model for enterprise accountability and governance.""","""Ready for Band 5B – Institutional Ownership & Leadership."""
5A,Accountability & Ownership,75–99 (Developing),"""Personally reliable, but relies on direct control rather than systems.""","""Build cascading ownership structures and autonomy."""
5A,Accountability & Ownership,50–74 (Needs Improvement),"""Dependable on tasks but limited cross-functional follow-through.""","""Strengthen proactive visibility and stakeholder confidence."""
5A,Accountability & Ownership,<50 (Critical Gap),"""Accountability gaps risk reputation or delivery integrity.""","""Needs structured coaching, oversight, and integrity frameworks."""
5A,Adaptability & Learning Agility,100–125 (Strong),"""Leading organizational adaptability and learning systems.""","""Ready for Band 5B – Strategic Agility Leadership."""
5A,Adaptability & Learning Agility,75–99 (Developing),"""Adaptable and self-aware but inconsistent in learning loops.""","""Focus on codifying insights and scaling team experiments."""
5A,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Responsive to change but reactive in learning.""","""Build systematic feedback and retrospective mechanisms."""
5A,Adaptability & Learning Agility,<50 (Critical Gap),"""Struggles with change management and resilience.""","""Needs coaching, guided reflection, and energy management."""
5A,Teamwork & Collaboration,100–125 (Strong),"""Leading organizational trust and cross-functional alignment.""","""Ready for Band 5B – Enterprise Collaboration Norms."""
5A,Teamwork & Collaboration,75–99 (Developing),"""Effective within scope but quality varies across functions.""","""Strengthen pre-alignment, safety, and documentation cadence."""
5A,Teamwork & Collaboration,50–74 (Needs Improvement),"""Collaboration is person-dependent and reactive.""","""Standardize mechanisms and measure collaboration health."""
5A,Teamwork & Collaboration,<50 (Critical Gap),"""Silo behavior and unresolved conflicts risk outcomes.""","""Requires structured operating model and conflict coaching."""
5B,Problem Solving & Critical Thinking,100–125 (Strong),"""Enterprise-level analytical leadership and systemic decision maturity.""","""Ready for Band 6A – Strategic Governance & Organizational Intelligence."""
5B,Problem Solving & Critical Thinking,75–99 (Developing),"""Strong problem solver but needs to formalize decision governance.""","""Focus on scaling systems and formalizing governance."""
5B,Problem Solving & Critical Thinking,50–74 (Needs Improvement),"""Analytical competence is present.""","""Execution and learning loops require structure."""
5B,Problem Solving & Critical Thinking,<50 (Critical Gap),"""Problem solving is unsystematic with limited traceability.""","""Requires executive mentorship."""
5B,Communication,100–125 (Strong),"""Maintains transparent systems of communication that define culture.""","""Ready for Band 6A – Strategic Reputation & External Leadership."""
5B,Communication,75–99 (Developing),"""Strong communicator; needs more systematic measurement.""","""Focus on institutionalizing influence and scalability of impact."""
5B,Communication,50–74 (Needs Improvement),"""Communication impact is episodic or leader-dependent.""","""Strengthen data-driven alignment and delegated voice systems."""
5B,Communication,<50 (Critical Gap),"""Visibility or consistency gaps affect credibility.""","""Needs executive coaching on strategic messaging."""
5B,Accountability & Ownership,100–125 (Strong),"""Enterprise-level ownership, ethical accountability, and systemic reliability. ""","""Ready for Band 6A – Governance & Ethical Stewardship Leadership."""
5B,Accountability & Ownership,75–99 (Developing),"""Strong ownership; requires greater scalability.""","""Focus on systemic sustainability and delegated accountability."""
5B,Accountability & Ownership,50–74 (Needs Improvement),"""Accountability is largely individual.""","""Needs structured governance and cultural embedding."""
5B,Accountability & Ownership,<50 (Critical Gap),"""Inconsistent follow-through or ethical ambiguity.""","""Requires coaching and mentorship support."""
5B,Adaptability & Learning Agility,100–125 (Strong),"""Demonstrates strategic foresight and institutionalizes learning.""","""Ready for Band 6A – Organizational Agility & Resilience Leadership."""
5B,Adaptability & Learning Agility,75–99 (Developing),"""Highly adaptive personally, but organizational learning is not systematic. ""","""Build scalable learning models."""
5B,Adaptability & Learning Agility,50–74 (Needs Improvement),"""Reactive to change.""","""Strengthen structured learning, empowerment, and foresight loops. """
5B,Adaptability & Learning Agility,<50 (Critical Gap),"""Resistance to change limits impact.""","""Needs guided exposure to agile leadership practices."""
5B,Teamwork & Collaboration,100–125 (Strong),"""Operates as an enterprise collaborator—aligning strategy, trust, and ecosystems. ""","""Ready for Band 6A – Organizational Network Leadership."""
5B,Teamwork & Collaboration,75–99 (Developing),"""Collaborative and influential, but systems rely on personal leadership. ""","""Build scalable collaboration structures."""
