Band,Competency,Sub_Section,Q.No,Question
Band 1,Adaptability & Learning Agility,Being Open to New Things,42,"""I don’t say “that’s impossible” before trying it."" "
Band 1,Adaptability & Learning Agility,Being Open to New Things,43,"""I am open to working with different people or teams."" "
Band 1,Adaptability & Learning Agility,Being Open to New Things,44,"""I try to learn from the different styles of my teammates."" "
Band 1,Adaptability & Learning Agility,Being Open to New Things,45,"""I accept new assignments with a positive attitude."" "
Band 1,Adaptability & Learning Agility,Practicing & Improving,46,"""I spend time practicing a new skill until I get it right."" "
Band 1,Adaptability & Learning Agility,Practicing & Improving,47,"""I look for small ways to be faster or better at my work."" "
Band 1,Adaptability & Learning Agility,Practicing & Improving,48,"""I use the tools and templates the team provides."" "
Band 1,Adaptability & Learning Agility,Practicing & Improving,49,"""I follow new processes once they are explained to me."" "
Band 1,Adaptability & Learning Agility,Practicing & Improving,50,"""I show that I am eager to grow and learn more."" "
Band 1,Communication,Clarity & Expression,51,"""I try to speak clearly when asked what I worked on"" "
Band 1,Communication,Clarity & Expression,52,"""I attempt to finish my sentence even when I feel nervous"" "
Band 1,Communication,Clarity & Expression,53,"""If someone looks confused, I try saying it in another way"" "
Band 1,Communication,Clarity & Expression,54,"""I speak slowly so others can understand me better"" "
Band 1,Communication,Clarity & Expression,55,"""I try not to use casual words during formal conversations"" "
Band 1,Communication,Asking Questions & Clarifying,56,"""When I don’t understand something, I ask questions"" "
Band 1,Communication,Asking Questions & Clarifying,57,"""I raise my hand or drop a message if I need help"" "
Band 1,Communication,Asking Questions & Clarifying,58,"""I ask others to repeat if I missed part of the instruction"" "
Band 1,Communication,Asking Questions & Clarifying,59,"""I confirm details before starting a task (e.g., deadline or goal)"" "
Band 1,Communication,Asking Questions & Clarifying,60,"""I ask for examples if I don’t fully understand what’s explained"" "
Band 1,Communication,Listening & Respect,61,"""I look at the person (or screen) when they are talking to me"" "
Band 1,Communication,Listening & Respect,62,"""I wait for the other person to finish before I start speaking"" "
Band 1,Communication,Listening & Respect,63,"""I try to understand the other person’s point of view"" "
Band 1,Communication,Listening & Respect,64,"""I avoid using my phone or doing other work during meetings"" "
Band 1,Communication,Listening & Respect,65,"""I say “thank you” or acknowledge when someone helps me"" "
Band 1,Communication,Digital Etiquette,66,"""I use polite greetings (like Hi, Hello) in my messages"" "
Band 1,Communication,Digital Etiquette,67,"""I try to keep my messages short and easy to read"" "
Band 1,Communication,Digital Etiquette,68,"""I reply to direct messages within a reasonable time"" "
Band 1,Communication,Digital Etiquette,69,"""I use clear subject lines when I send an email"" "
Band 1,Communication,Digital Etiquette,70,"""I check my spelling before I hit send on an important message"" "
Band 1,Communication,Confidence & Feedback,71,"""I try to share my opinion when asked in a group"" "
Band 1,Communication,Confidence & Feedback,72,"""I listen to feedback on how I speak or write"" "
Band 1,Communication,Confidence & Feedback,73,"""I try to apply suggestions to improve my communication"" "
Band 1,Communication,Confidence & Feedback,74,"""I am okay with admitting when I don’t know an answer"" "
Band 1,Communication,Confidence & Feedback,75,"""I show appreciation for support or guidance I receive"" "
Band 1,Problem Solving & Critical Thinking,Understanding the Problem,76,"""I pause to read/listen carefully before starting a task."" "
Band 1,Problem Solving & Critical Thinking,Understanding the Problem,77,"""I try to understand “why” the task matters before I begin."" "
Band 1,Problem Solving & Critical Thinking,Understanding the Problem,78,"""If something doesn’t make sense, I ask for clarification."" "
Band 1,Problem Solving & Critical Thinking,Understanding the Problem,79,"""I double-check what is expected (outcome, format, etc.) before I start."" "
Band 1,Problem Solving & Critical Thinking,Understanding the Problem,80,"""I try to understand the full picture—not just my piece."" "
Band 1,Problem Solving & Critical Thinking,Logical Thinking & Basic Structure,81,"""I break down large tasks into small steps before starting."" "
Band 1,Problem Solving & Critical Thinking,Logical Thinking & Basic Structure,82,"""I think about which step should come first."" "
Band 1,Problem Solving & Critical Thinking,Logical Thinking & Basic Structure,83,"""I write down to-do items or make simple lists."" "
Band 1,Problem Solving & Critical Thinking,Logical Thinking & Basic Structure,84,"""I try to spot patterns (e.g., this kind of bug always happens after update)."" "
Band 1,Problem Solving & Critical Thinking,Logical Thinking & Basic Structure,85,"""I check my assumptions when unsure (“Do I know this for sure?”)."" "
Band 1,Problem Solving & Critical Thinking,Information Gathering,86,"""I look at past examples or references before starting a task."" "
Band 1,Problem Solving & Critical Thinking,Information Gathering,87,"""I ask where to find information if I am lost."" "
Band 1,Problem Solving & Critical Thinking,Information Gathering,88,"""I check my work against a checklist if one is provided."" "
Band 1,Problem Solving & Critical Thinking,Information Gathering,89,"""I try to search for answers (e.g., in documentation) before asking."" "
Band 1,Problem Solving & Critical Thinking,Information Gathering,90,"""I keep notes of important instructions or facts."" "
Band 1,Problem Solving & Critical Thinking,Accuracy & Double-Checking,91,"""I review my work at least once before submitting it."" "
Band 1,Problem Solving & Critical Thinking,Accuracy & Double-Checking,92,"""I look for common errors (like typos or missing files)."" "
Band 1,Problem Solving & Critical Thinking,Accuracy & Double-Checking,93,"""I check if my final result matches what was requested."" "
Band 1,Problem Solving & Critical Thinking,Accuracy & Double-Checking,94,"""I test my work (e.g., run the code or re-read the mail) to ensure it works."" "
Band 1,Problem Solving & Critical Thinking,Accuracy & Double-Checking,95,"""I ask a buddy or lead to do a quick check if it's my first time."" "
Band 1,Problem Solving & Critical Thinking,Handling Blockers & Seeking Support,96,"""I flag a problem as soon as I realize I can’t solve it alone."" "
Band 1,Problem Solving & Critical Thinking,Handling Blockers & Seeking Support,97,"""I try to explain what I’ve already tried when asking for help."" "
Band 1,Problem Solving & Critical Thinking,Handling Blockers & Seeking Support,98,"""I stay calm when a problem occurs."" "
Band 1,Problem Solving & Critical Thinking,Handling Blockers & Seeking Support,99,"""I learn from the solution so I don’t get stuck on the same thing again."" "
Band 1,Problem Solving & Critical Thinking,Handling Blockers & Seeking Support,100,"""I follow the steps suggested by my lead to fix an issue."" "
Band 1,Teamwork & Collaboration,Cooperation & Participation,101,"""I try to complete my part of the task on time so the team isn't delayed"" "
Band 1,Teamwork & Collaboration,Cooperation & Participation,102,"""I stay available when teammates ask for my input or support"" "
Band 1,Teamwork & Collaboration,Cooperation & Participation,103,"""I respond when someone checks in with me about a group task"" "
Band 1,Teamwork & Collaboration,Cooperation & Participation,104,"""I join group activities or calls when invited"" "
Band 1,Teamwork & Collaboration,Cooperation & Participation,105,"""I follow through on things I agreed to do"" "
Band 1,Teamwork & Collaboration,Respecting Others,106,"""I listen to teammates even if I don’t fully agree"" "
Band 1,Teamwork & Collaboration,Respecting Others,107,"""I avoid speaking over others in meetings or chats"" "
Band 1,Teamwork & Collaboration,Respecting Others,108,"""I respect different styles or ideas from my team members"" "
Band 1,Teamwork & Collaboration,Respecting Others,109,"""I don’t make fun of others, even in jokes"" "
Band 1,Teamwork & Collaboration,Respecting Others,110,"""I stay polite even if I’m stressed or tired"" "
Band 1,Teamwork & Collaboration,Helping & Sharing,111,"""I share useful resources (links, notes, code) when I find them"" "
Band 1,Teamwork & Collaboration,Helping & Sharing,112,"""I help teammates when I see they are stuck"" "
Band 1,Teamwork & Collaboration,Helping & Sharing,113,"""I explain things I know to help a teammate learn"" "
Band 1,Teamwork & Collaboration,Helping & Sharing,114,"""I offer to help with small tasks if I finish my work early"" "
Band 1,Teamwork & Collaboration,Helping & Sharing,115,"""I share credit with others when we finish a task together"" "
Band 1,Teamwork & Collaboration,Working in a Group,116,"""I use team tools (like Slack or trackers) to stay connected"" "
Band 1,Teamwork & Collaboration,Working in a Group,117,"""I keep my status updated so the team knows where I am"" "
Band 1,Teamwork & Collaboration,Working in a Group,118,"""I follow the team’s rules for meetings or documentation"" "
Band 1,Teamwork & Collaboration,Working in a Group,119,"""I show up for team discussions prepared"" "
Band 1,Teamwork & Collaboration,Working in a Group,120,"""I try to be a positive member of the group"" "
Band 1,Teamwork & Collaboration,Handling Small Disagreements,121,"""I try to solve small misunderstandings by talking directly"" "
Band 1,Teamwork & Collaboration,Handling Small Disagreements,122,"""I ask for help from a lead if a teammate and I can’t agree"" "
Band 1,Teamwork & Collaboration,Handling Small Disagreements,123,"""I focus on the work, not on personal feelings during a disagreement"" "
Band 1,Teamwork & Collaboration,Handling Small Disagreements,124,"""I am open to suggestions from others on how to work better"" "
Band 1,Teamwork & Collaboration,Handling Small Disagreements,125,"""I apologize if I realize I made a mistake that affected the team"" "
